cid,mw,polararea,xlogp,heavycnt,hbonddonor,hbondacc,rotbonds,binary_fingerprints
2123,210.28,48.4,2.7,15,0,6,3,[0. 0. 0. ... 0. 0. 1.]
2130,151.25,26.0,2.4,11,1,1,0,[0. 0. 0. ... 0. 0. 1.]
2140,613.91,95.5,1.8,20,3,4,3,[0. 1. 0. ... 0. 0. 1.]
2141,214.23,121.0,-4.5,12,4,6,7,[0. 0. 1. ... 0. 0. 1.]
2145,232.28,72.2,1.2,17,2,3,2,[0. 0. 0. ... 1. 1. 1.]
2148,194.19,92.4,-0.9,14,3,4,3,[0. 1. 0. ... 0. 0. 1.]
2153,180.16,69.3,0.0,13,1,3,0,[1. 0. 0. ... 0. 0. 1.]
2156,646.3,43.9,7.6,31,1,3,11,[0. 1. 0. ... 1. 1. 1.]
2159,369.5,110.0,1.5,25,2,6,7,[0. 1. 0. ... 0. 1. 1.]
2160,277.4,3.2,5.0,21,0,1,3,[0. 1. 0. ... 0. 0. 1.]
2161,298.29,103.0,3.1,22,2,6,2,[1. 1. 0. ... 1. 0. 1.]
2162,408.9,99.9,3.0,28,2,7,10,[0. 0. 1. ... 1. 1. 1.]
2163,225.26,81.6,2.3,16,1,3,4,[1. 0. 0. ... 1. 0. 1.]
2170,313.8,36.9,2.6,22,1,3,1,[1. 0. 1. ... 0. 0. 1.]
2179,393.5,88.7,4.0,28,2,6,5,[1. 0. 1. ... 0. 0. 1.]
2187,293.4,78.3,2.1,22,0,4,4,[0. 0. 0. ... 1. 0. 0.]
2216,245.11,62.4,1.3,15,3,2,2,[0. 0. 0. ... 0. 0. 1.]
2244,180.16,63.6,1.2,13,1,4,3,[0. 0. 0. ... 0. 0. 0.]
2249,266.34,84.6,0.2,19,3,4,8,[0. 0. 0. ... 0. 0. 1.]
2265,277.27,143.0,0.1,19,1,7,2,[1. 0. 0. ... 1. 0. 0.]
2266,188.22,74.6,1.6,13,2,4,8,[0. 0. 0. ... 0. 0. 0.]
2267,381.9,35.9,4.4,27,0,3,3,[1. 0. 1. ... 1. 0. 1.]
2284,213.66,63.3,-1.0,14,2,3,4,[0. 0. 0. ... 0. 0. 1.]
2315,421.4,135.0,1.2,27,3,10,3,[1. 0. 1. ... 0. 1. 1.]
2337,165.19,52.3,1.9,12,1,3,3,[0. 0. 0. ... 0. 0. 0.]
2341,239.35,3.2,4.1,18,0,1,5,[0. 0. 0. ... 0. 0. 1.]
2345,212.24,26.3,4.0,16,0,2,4,[0. 0. 0. ... 0. 0. 0.]
2349,334.4,112.0,1.8,23,2,5,4,[0. 1. 0. ... 1. 1. 1.]
2351,366.5,15.7,5.3,27,0,3,10,[0. 1. 0. ... 0. 1. 1.]
2366,136.19,24.9,0.4,10,1,2,3,[1. 0. 0. ... 0. 0. 1.]
2369,307.4,50.7,2.8,22,2,4,11,[0. 0. 0. ... 0. 0. 1.]
2370,161.22,52.3,0.0,11,1,2,4,[0. 0. 0. ... 0. 0. 1.]
2375,430.4,116.0,2.3,29,2,9,5,[1. 0. 0. ... 0. 0. 1.]
2391,361.4,65.5,3.8,27,0,5,7,[1. 0. 0. ... 0. 0. 0.]
2405,325.4,60.0,1.9,23,2,5,12,[0. 0. 0. ... 0. 0. 1.]
2431,243.16,0.0,2.8,13,0,0,3,[0. 0. 0. ... 0. 0. 1.]
2435,292.13,62.2,0.6,17,2,3,2,[1. 0. 1. ... 1. 0. 1.]
2441,316.15,54.4,1.7,19,1,3,1,[1. 0. 1. ... 0. 0. 1.]
2442,376.13,29.3,4.3,18,1,2,3,[0. 0. 0. ... 0. 0. 1.]
2462,430.5,93.1,2.5,31,2,6,4,[1. 0. 0. ... 0. 1. 0.]
2471,364.4,127.0,2.8,25,3,7,8,[0. 0. 1. ... 0. 0. 1.]
2474,288.4,32.299,3.4,21,1,2,5,[0. 0. 0. ... 0. 0. 1.]
2477,385.5,69.6,2.6,28,0,6,6,[1. 0. 0. ... 0. 1. 1.]
2478,246.3,104.0,-0.5,14,0,6,7,[0. 0. 0. ... 0. 0. 0.]
2479,212.25,75.3,1.6,15,2,3,3,[0. 1. 1. ... 0. 1. 1.]
2484,317.5,3.2,6.3,24,0,1,5,[0. 0. 0. ... 0. 0. 1.]
